number,value,datetime_start,datetime_complete,duration,params_activation,params_add_log_features,params_batch_norm,params_batch_size,params_dropout,params_encoding,params_feature_engineering,params_layers,params_learning_rate,params_loss,params_min_frequency,params_momentum,params_optimizer,params_scaler,params_scheduler,params_target_transform,params_weight_decay,params_width_0,params_width_1,params_width_2,params_width_3,params_winsorize,user_attrs_candidate,user_attrs_median_best_epoch,user_attrs_std_rmse,state
145,26874.09024492272,2026-08-17 17:31:52.936765,2026-08-17 17:32:03.829509,0 days 00:00:10.892744,tanh,False,True,16,0.22202652092431913,onehot,False,1,0.016206671990643948,mse,2.0,0.5966856106911831,adamw,robust,cosine,log1p,1.0427457090703517e-06,512,,,,False,"{'name': 'T145', 'preprocess': {'numeric_only': False, 'scaler': 'robust', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512], 'activation': 'tanh', 'dropout': 0.22202652092431913, 'batch_norm': True, 'optimizer': 'adamw', 'learning_rate': 0.016206671990643948, 'weight_decay': 1.0427457090703517e-06, 'momentum': 0.5966856106911831, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
146,36084.66051550948,2026-08-17 17:32:03.842572,2026-08-17 17:32:06.303690,0 days 00:00:02.461118,leaky_relu,False,False,64,0.11211002807409902,onehot,True,3,0.011247589251186673,mse,2.0,0.571989892732948,adamw,standard,plateau,log1p,1.0973924658543642e-06,512,128.0,64.0,,False,"{'name': 'T146', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 128, 64], 'activation': 'leaky_relu', 'dropout': 0.11211002807409902, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.011247589251186673, 'weight_decay': 1.0973924658543642e-06, 'momentum': 0.571989892732948, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'plateau', 'gradient_clip': 5.0}}",5.0,25321.760516718066,COMPLETE
147,43490.04557792224,2026-08-17 17:32:06.315128,2026-08-17 17:32:08.396274,0 days 00:00:02.081146,tanh,False,False,64,0.018656101728600924,onehot,True,3,0.019458289380032683,mse,2.0,0.6585261461418114,rmsprop,standard,plateau,log1p,1.927523183849669e-07,512,128.0,64.0,,True,"{'name': 'T147', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': True, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 128, 64], 'activation': 'tanh', 'dropout': 0.018656101728600924, 'batch_norm': False, 'optimizer': 'rmsprop', 'learning_rate': 0.019458289380032683, 'weight_decay': 1.927523183849669e-07, 'momentum': 0.6585261461418114, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'plateau', 'gradient_clip': 5.0}}",,,PRUNED
148,48657.742558494814,2026-08-17 17:32:08.413183,2026-08-17 17:32:12.277367,0 days 00:00:03.864184,gelu,False,False,64,0.11246531806844337,ordinal,False,3,0.005566281190902248,mse,5.0,0.5382414745741204,adamw,standard,plateau,log1p,6.895153883987203e-06,256,128.0,64.0,,False,"{'name': 'T148', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'ordinal', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [256, 128, 64], 'activation': 'gelu', 'dropout': 0.11246531806844337, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.005566281190902248, 'weight_decay': 6.895153883987203e-06, 'momentum': 0.5382414745741204, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'plateau', 'gradient_clip': 5.0}}",32.0,46218.077032415305,COMPLETE
149,27515.28140830659,2026-08-17 17:32:12.289137,2026-08-17 17:32:17.187679,0 days 00:00:04.898542,tanh,False,False,16,0.0577518193000692,onehot,False,2,0.005699948865518998,mse,2.0,0.5370057979706789,adamw,standard,cosine,standard,5.07561222680397e-07,32,128.0,,,False,"{'name': 'T149', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'standard'}, 'model': {'hidden_layers': [32, 128], 'activation': 'tanh', 'dropout': 0.0577518193000692, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.005699948865518998, 'weight_decay': 5.07561222680397e-07, 'momentum': 0.5370057979706789, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",21.0,8009.269131362546,COMPLETE
150,29689.121007287107,2026-08-17 17:32:17.200539,2026-08-17 17:32:19.826724,0 days 00:00:02.626185,tanh,False,False,64,0.02903374290031402,onehot,True,1,0.003492285549098031,mse,,0.62799157308454,adamw,standard,plateau,log1p,2.7520632977313733e-07,512,,,,False,"{'name': 'T150', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512], 'activation': 'tanh', 'dropout': 0.02903374290031402, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.003492285549098031, 'weight_decay': 2.7520632977313733e-07, 'momentum': 0.62799157308454, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'plateau', 'gradient_clip': 5.0}}",17.0,12268.778328847999,COMPLETE
151,26713.901982628537,2026-08-17 17:32:19.836758,2026-08-17 17:32:23.654289,0 days 00:00:03.817531,tanh,False,False,32,0.030050490916739614,onehot,True,2,0.01501817108538678,smooth_l1,,0.7356910031726017,adamw,standard,cosine,log1p,5.6741986846666e-07,64,64.0,,,False,"{'name': 'T151', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [64, 64], 'activation': 'tanh', 'dropout': 0.030050490916739614, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.01501817108538678, 'weight_decay': 5.6741986846666e-07, 'momentum': 0.7356910031726017, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",27.0,7488.976855134571,COMPLETE
152,27194.69779929651,2026-08-17 17:32:23.667435,2026-08-17 17:32:27.283180,0 days 00:00:03.615745,tanh,False,False,32,0.07018562943049653,onehot,False,2,0.003154849458273558,mse,,0.7929664883597727,adamw,standard,cosine,log1p,2.7829144729330225e-06,64,64.0,,,False,"{'name': 'T152', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [64, 64], 'activation': 'tanh', 'dropout': 0.07018562943049653, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.003154849458273558, 'weight_decay': 2.7829144729330225e-06, 'momentum': 0.7929664883597727, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",21.0,6453.78347334057,COMPLETE
153,25792.067079934106,2026-08-17 17:32:27.292274,2026-08-17 17:32:30.911253,0 days 00:00:03.618979,tanh,False,False,64,0.0109477269070576,onehot,True,3,0.005059775442034816,smooth_l1,,0.7679761196327279,adamw,standard,cosine,log1p,4.852228998031377e-07,512,64.0,128.0,,False,"{'name': 'T153', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 64, 128], 'activation': 'tanh', 'dropout': 0.0109477269070576, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.005059775442034816, 'weight_decay': 4.852228998031377e-07, 'momentum': 0.7679761196327279, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",20.0,7805.534797920352,COMPLETE
154,25971.851216553026,2026-08-17 17:32:30.920768,2026-08-17 17:32:35.017019,0 days 00:00:04.096251,tanh,False,False,32,0.009208554347851972,onehot,True,2,0.007701666036052553,smooth_l1,5.0,0.8400360226414482,adamw,standard,cosine,standard,2.326458873376576e-06,128,64.0,,,False,"{'name': 'T154', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128, 64], 'activation': 'tanh', 'dropout': 0.009208554347851972, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.007701666036052553, 'weight_decay': 2.326458873376576e-06, 'momentum': 0.8400360226414482, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",31.0,6769.026368686247,COMPLETE
155,26458.684140008205,2026-08-17 17:32:35.024025,2026-08-17 17:32:38.636354,0 days 00:00:03.612329,tanh,False,False,32,0.00531106981728827,onehot,True,2,0.007996997683703504,smooth_l1,5.0,0.8401361698679547,adam,standard,cosine,standard,1.2691330779810567e-06,128,64.0,,,False,"{'name': 'T155', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128, 64], 'activation': 'tanh', 'dropout': 0.00531106981728827, 'batch_norm': False, 'optimizer': 'adam', 'learning_rate': 0.007996997683703504, 'weight_decay': 1.2691330779810567e-06, 'momentum': 0.8401361698679547, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",28.0,6714.817770766595,COMPLETE
156,30762.955997617737,2026-08-17 17:32:38.645651,2026-08-17 17:32:42.329059,0 days 00:00:03.683408,tanh,False,False,16,0.05428625968106006,onehot,True,2,0.009353752534253518,smooth_l1,5.0,0.8061372651047538,rmsprop,standard,cosine,standard,3.111090838926508e-05,128,64.0,,,False,"{'name': 'T156', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128, 64], 'activation': 'tanh', 'dropout': 0.05428625968106006, 'batch_norm': False, 'optimizer': 'rmsprop', 'learning_rate': 0.009353752534253518, 'weight_decay': 3.111090838926508e-05, 'momentum': 0.8061372651047538, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
157,50145.99529171625,2026-08-17 17:32:42.348305,2026-08-17 17:32:45.698569,0 days 00:00:03.350264,leaky_relu,False,False,64,0.07467005384111171,onehot,True,3,0.0014200474828993152,smooth_l1,,0.778014351248582,adamw,standard,cosine,log1p,1.8504538236723807e-05,512,64.0,64.0,,False,"{'name': 'T157', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 64, 64], 'activation': 'leaky_relu', 'dropout': 0.07467005384111171, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.0014200474828993152, 'weight_decay': 1.8504538236723807e-05, 'momentum': 0.778014351248582, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",22.0,51803.85936577394,COMPLETE
158,25196.13293693611,2026-08-17 17:32:45.712307,2026-08-17 17:32:49.112269,0 days 00:00:03.399962,tanh,False,False,32,0.060477967297623766,onehot,True,3,0.00858716328279012,smooth_l1,,0.8937189400228447,adam,standard,cosine,standard,1.324656427302931e-07,128,64.0,32.0,,False,"{'name': 'T158', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128, 64, 32], 'activation': 'tanh', 'dropout': 0.060477967297623766, 'batch_norm': False, 'optimizer': 'adam', 'learning_rate': 0.00858716328279012, 'weight_decay': 1.324656427302931e-07, 'momentum': 0.8937189400228447, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
159,24213.317362978443,2026-08-17 17:32:49.137395,2026-08-17 17:32:51.370501,0 days 00:00:02.233106,tanh,False,False,32,0.11968980497998945,onehot,True,2,0.015168402380382627,smooth_l1,,0.7803455730122802,adamw,standard,cosine,log1p,6.726414272860714e-06,64,64.0,,,False,"{'name': 'T159', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [64, 64], 'activation': 'tanh', 'dropout': 0.11968980497998945, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.015168402380382627, 'weight_decay': 6.726414272860714e-06, 'momentum': 0.7803455730122802, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
160,26850.735139597364,2026-08-17 17:32:51.387248,2026-08-17 17:32:56.495443,0 days 00:00:05.108195,tanh,False,False,32,0.09789349082418153,onehot,True,2,0.014792295604980093,smooth_l1,5.0,0.8740201091324487,adamw,standard,cosine,standard,3.396916980581697e-06,512,64.0,,,False,"{'name': 'T160', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [512, 64], 'activation': 'tanh', 'dropout': 0.09789349082418153, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.014792295604980093, 'weight_decay': 3.396916980581697e-06, 'momentum': 0.8740201091324487, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",15.0,4993.397228838292,COMPLETE
161,50355.648790720385,2026-08-17 17:32:56.503795,2026-08-17 17:32:58.387082,0 days 00:00:01.883287,leaky_relu,False,False,32,0.02721087097638293,onehot,False,1,0.00243392541815424,smooth_l1,5.0,0.7983309047762611,adamw,standard,cosine,log1p,3.6062363566193874e-07,128,,,,False,"{'name': 'T161', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [128], 'activation': 'leaky_relu', 'dropout': 0.02721087097638293, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.00243392541815424, 'weight_decay': 3.6062363566193874e-07, 'momentum': 0.7983309047762611, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",3.0,49897.98576647334,COMPLETE
162,23973.961487149438,2026-08-17 17:32:58.395424,2026-08-17 17:33:00.528729,0 days 00:00:02.133305,tanh,False,False,32,0.04107850123751122,ordinal,True,1,0.02817348068264326,smooth_l1,5.0,0.84830677644588,sgd,standard,cosine,standard,2.305283221352169e-07,128,,,,False,"{'name': 'T162', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'ordinal', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128], 'activation': 'tanh', 'dropout': 0.04107850123751122, 'batch_norm': False, 'optimizer': 'sgd', 'learning_rate': 0.02817348068264326, 'weight_decay': 2.305283221352169e-07, 'momentum': 0.84830677644588, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
163,24265.532253198835,2026-08-17 17:33:00.538712,2026-08-17 17:33:02.553751,0 days 00:00:02.015039,tanh,False,False,32,0.19240563151986556,onehot,True,1,0.013062165741463615,smooth_l1,5.0,0.7995761016920505,adamw,standard,cosine,standard,3.357937795347716e-07,256,,,,False,"{'name': 'T163', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [256], 'activation': 'tanh', 'dropout': 0.19240563151986556, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.013062165741463615, 'weight_decay': 3.357937795347716e-07, 'momentum': 0.7995761016920505, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
164,34143.744423608034,2026-08-17 17:33:02.570379,2026-08-17 17:33:07.287188,0 days 00:00:04.716809,tanh,False,False,16,0.09863862885144978,ordinal,False,3,0.016210488451355802,mse,2.0,0.5242986559581441,adam,standard,cosine,log1p,2.191625911155852e-07,256,64.0,512.0,,False,"{'name': 'T164', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'ordinal', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [256, 64, 512], 'activation': 'tanh', 'dropout': 0.09863862885144978, 'batch_norm': False, 'optimizer': 'adam', 'learning_rate': 0.016210488451355802, 'weight_decay': 2.191625911155852e-07, 'momentum': 0.5242986559581441, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
165,24537.572536721906,2026-08-17 17:33:07.303669,2026-08-17 17:33:10.020291,0 days 00:00:02.716622,tanh,False,False,64,0.10982968890853834,onehot,True,2,0.0029475195672818825,smooth_l1,2.0,0.8634411037218528,adamw,standard,cosine,standard,3.383798916477577e-05,512,64.0,,,False,"{'name': 'T165', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'standard'}, 'model': {'hidden_layers': [512, 64], 'activation': 'tanh', 'dropout': 0.10982968890853834, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.0029475195672818825, 'weight_decay': 3.383798916477577e-05, 'momentum': 0.8634411037218528, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
166,27600.571439132866,2026-08-17 17:33:10.029350,2026-08-17 17:33:14.353906,0 days 00:00:04.324556,tanh,False,True,32,0.0023857050436343064,onehot,False,2,0.006927192408001756,smooth_l1,5.0,0.860550001560099,adamw,standard,cosine,standard,1.5381035382945343e-05,512,64.0,,,False,"{'name': 'T166', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [512, 64], 'activation': 'tanh', 'dropout': 0.0023857050436343064, 'batch_norm': True, 'optimizer': 'adamw', 'learning_rate': 0.006927192408001756, 'weight_decay': 1.5381035382945343e-05, 'momentum': 0.860550001560099, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
167,24289.325928833896,2026-08-17 17:33:14.378810,2026-08-17 17:33:22.468365,0 days 00:00:08.089555,tanh,False,False,64,0.10787226447199252,onehot,True,3,0.012202762255915808,smooth_l1,,0.7247399588930787,sgd,standard,cosine,log1p,1.9260829054157723e-06,512,64.0,64.0,,True,"{'name': 'T167', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': True, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 64, 64], 'activation': 'tanh', 'dropout': 0.10787226447199252, 'batch_norm': False, 'optimizer': 'sgd', 'learning_rate': 0.012202762255915808, 'weight_decay': 1.9260829054157723e-06, 'momentum': 0.7247399588930787, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
168,28642.93086072141,2026-08-17 17:33:22.481042,2026-08-17 17:33:29.908013,0 days 00:00:07.426971,tanh,False,False,64,0.14321617547427734,onehot,True,2,0.003749511055483154,smooth_l1,,0.9142542090071956,adamw,robust,cosine,log1p,3.520403425678098e-07,512,64.0,,,False,"{'name': 'T168', 'preprocess': {'numeric_only': False, 'scaler': 'robust', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 64], 'activation': 'tanh', 'dropout': 0.14321617547427734, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.003749511055483154, 'weight_decay': 3.520403425678098e-07, 'momentum': 0.9142542090071956, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
169,26303.98129536367,2026-08-17 17:33:29.931794,2026-08-17 17:33:34.992545,0 days 00:00:05.060751,tanh,False,False,32,0.0017224007782150113,onehot,True,2,0.008453540975373588,smooth_l1,5.0,0.7013795499364197,adamw,standard,cosine,standard,1.8704203108259657e-06,128,64.0,,,False,"{'name': 'T169', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128, 64], 'activation': 'tanh', 'dropout': 0.0017224007782150113, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.008453540975373588, 'weight_decay': 1.8704203108259657e-06, 'momentum': 0.7013795499364197, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",29.0,6281.191994373513,COMPLETE
170,27491.183605595066,2026-08-17 17:33:35.007113,2026-08-17 17:33:41.822612,0 days 00:00:06.815499,tanh,False,False,64,0.14408314887499674,onehot,True,3,0.01860749763,smooth_l1,,0.6999687628159426,adamw,standard,none,standard,2.2018994846319508e-07,512,64.0,64.0,,False,"{'name': 'T170', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'standard'}, 'model': {'hidden_layers': [512, 64, 64], 'activation': 'tanh', 'dropout': 0.14408314887499674, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.01860749763, 'weight_decay': 2.2018994846319508e-07, 'momentum': 0.6999687628159426, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'none', 'gradient_clip': 5.0}}",37.0,5201.951905298353,COMPLETE
171,25110.115046061896,2026-08-17 17:33:41.833029,2026-08-17 17:33:48.604890,0 days 00:00:06.771861,tanh,False,False,64,0.011519223866763519,onehot,False,4,0.0010246916730815012,smooth_l1,,0.7935815714037167,rmsprop,standard,cosine,log1p,4.792848023650164e-07,512,64.0,128.0,128.0,False,"{'name': 'T171', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 64, 128, 128], 'activation': 'tanh', 'dropout': 0.011519223866763519, 'batch_norm': False, 'optimizer': 'rmsprop', 'learning_rate': 0.0010246916730815012, 'weight_decay': 4.792848023650164e-07, 'momentum': 0.7935815714037167, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",43.0,7595.196426662248,COMPLETE
172,23666.153687543323,2026-08-17 17:33:48.616221,2026-08-17 17:33:50.778729,0 days 00:00:02.162508,tanh,False,False,64,0.009900139248748135,onehot,True,2,0.0010853267525098346,smooth_l1,5.0,0.7296796360391641,adam,standard,cosine,log1p,1.6503330289787907e-06,128,64.0,,,False,"{'name': 'T172', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [128, 64], 'activation': 'tanh', 'dropout': 0.009900139248748135, 'batch_norm': False, 'optimizer': 'adam', 'learning_rate': 0.0010853267525098346, 'weight_decay': 1.6503330289787907e-06, 'momentum': 0.7296796360391641, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
173,23350.455317414242,2026-08-17 17:33:50.802884,2026-08-17 17:33:54.751275,0 days 00:00:03.948391,tanh,False,False,64,0.01004185728374052,onehot,False,4,0.00017423633683873093,smooth_l1,,0.8576238040020894,rmsprop,standard,cosine,log1p,9.009245978087452e-06,512,64.0,128.0,128.0,False,"{'name': 'T173', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 64, 128, 128], 'activation': 'tanh', 'dropout': 0.01004185728374052, 'batch_norm': False, 'optimizer': 'rmsprop', 'learning_rate': 0.00017423633683873093, 'weight_decay': 9.009245978087452e-06, 'momentum': 0.8576238040020894, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
