number,value,datetime_start,datetime_complete,duration,params_activation,params_add_log_features,params_batch_norm,params_batch_size,params_dropout,params_encoding,params_feature_engineering,params_layers,params_learning_rate,params_loss,params_min_frequency,params_momentum,params_optimizer,params_scaler,params_scheduler,params_target_transform,params_weight_decay,params_width_0,params_width_1,params_width_2,params_width_3,params_winsorize,user_attrs_candidate,user_attrs_median_best_epoch,user_attrs_std_rmse,state
135,41353.64913725742,2026-08-17 17:31:04.846900,2026-08-17 17:31:10.171771,0 days 00:00:05.324871,leaky_relu,False,False,16,0.015895227804127388,onehot,True,2,0.011075534958166908,mse,2.0,0.7249717925435639,adamw,standard,cosine,log1p,2.5340058135843393e-06,256,128.0,,,False,"{'name': 'T135', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [256, 128], 'activation': 'leaky_relu', 'dropout': 0.015895227804127388, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.011075534958166908, 'weight_decay': 2.5340058135843393e-06, 'momentum': 0.7249717925435639, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",12.0,36765.97415391495,COMPLETE
136,26661.12730820914,2026-08-17 17:31:10.187608,2026-08-17 17:31:16.235091,0 days 00:00:06.047483,tanh,False,False,16,0.10303548527405657,onehot,False,2,0.0076859031613589575,mse,2.0,0.5298265699325417,adamw,standard,cosine,log1p,1.5633463694557603e-07,512,128.0,,,False,"{'name': 'T136', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 128], 'activation': 'tanh', 'dropout': 0.10303548527405657, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.0076859031613589575, 'weight_decay': 1.5633463694557603e-07, 'momentum': 0.5298265699325417, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",18.0,6875.330249850678,COMPLETE
137,68776.88478322695,2026-08-17 17:31:16.238721,2026-08-17 17:31:20.440966,0 days 00:00:04.202245,silu,False,False,16,0.12186093863890199,onehot,False,1,0.0023976811894827633,mse,2.0,0.5760134349519902,adamw,standard,cosine,log1p,1.1495335265126976e-05,512,,,,False,"{'name': 'T137', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512], 'activation': 'silu', 'dropout': 0.12186093863890199, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.0023976811894827633, 'weight_decay': 1.1495335265126976e-05, 'momentum': 0.5760134349519902, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",8.0,82278.97545868861,COMPLETE
138,28251.072800248003,2026-08-17 17:31:20.451498,2026-08-17 17:31:28.087645,0 days 00:00:07.636147,tanh,False,False,16,0.04949598619221095,onehot,True,3,0.014413485396086051,mse,2.0,0.5898627896310612,sgd,standard,cosine,log1p,1.2368009346670672e-06,32,128.0,64.0,,False,"{'name': 'T138', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [32, 128, 64], 'activation': 'tanh', 'dropout': 0.04949598619221095, 'batch_norm': False, 'optimizer': 'sgd', 'learning_rate': 0.014413485396086051, 'weight_decay': 1.2368009346670672e-06, 'momentum': 0.5898627896310612, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",39.0,7182.0060574376375,COMPLETE
139,28390.0663456099,2026-08-17 17:31:28.098661,2026-08-17 17:31:30.138239,0 days 00:00:02.039578,tanh,False,False,128,0.2259142678506052,onehot,True,1,0.00829741084296398,mse,2.0,0.5175593284044732,adamw,standard,cosine,log1p,3.6260944573366144e-07,512,,,,False,"{'name': 'T139', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512], 'activation': 'tanh', 'dropout': 0.2259142678506052, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.00829741084296398, 'weight_decay': 3.6260944573366144e-07, 'momentum': 0.5175593284044732, 'batch_size': 128, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",17.0,9324.064203907157,COMPLETE
140,30968.575234177082,2026-08-17 17:31:30.154946,2026-08-17 17:31:37.157627,0 days 00:00:07.002681,tanh,False,False,16,0.035672805834664034,onehot,False,1,0.0003386395015458524,mse,5.0,0.6108457576830041,adamw,standard,cosine,log1p,1.4151454635547858e-07,512,,,,False,"{'name': 'T140', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512], 'activation': 'tanh', 'dropout': 0.035672805834664034, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.0003386395015458524, 'weight_decay': 1.4151454635547858e-07, 'momentum': 0.6108457576830041, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",12.0,14708.020105012367,COMPLETE
141,45576.43332625527,2026-08-17 17:31:37.174291,2026-08-17 17:31:39.963125,0 days 00:00:02.788834,tanh,False,False,32,0.007781823055666923,ordinal,True,2,0.0282879323085727,mse,,0.6687962618386061,rmsprop,standard,cosine,log1p,2.2031606206286547e-07,64,128.0,,,False,"{'name': 'T141', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'ordinal', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [64, 128], 'activation': 'tanh', 'dropout': 0.007781823055666923, 'batch_norm': False, 'optimizer': 'rmsprop', 'learning_rate': 0.0282879323085727, 'weight_decay': 2.2031606206286547e-07, 'momentum': 0.6687962618386061, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",,,PRUNED
142,39545.490422246185,2026-08-17 17:31:39.979859,2026-08-17 17:31:43.657370,0 days 00:00:03.677511,silu,False,False,32,0.008478775668578728,onehot,True,2,0.002326307507959018,mse,2.0,0.5102190575679154,adam,standard,cosine,log1p,1.4947564031190604e-06,512,128.0,,,False,"{'name': 'T142', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 128], 'activation': 'silu', 'dropout': 0.008478775668578728, 'batch_norm': False, 'optimizer': 'adam', 'learning_rate': 0.002326307507959018, 'weight_decay': 1.4947564031190604e-06, 'momentum': 0.5102190575679154, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",11.0,29075.775325537994,COMPLETE
143,28123.82579938074,2026-08-17 17:31:43.663067,2026-08-17 17:31:50.245321,0 days 00:00:06.582254,tanh,False,False,16,0.014686030153308965,onehot,True,2,0.0009942512349836248,mse,2.0,0.687652664074552,adamw,standard,cosine,log1p,2.377131353038638e-06,512,128.0,,,False,"{'name': 'T143', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512, 128], 'activation': 'tanh', 'dropout': 0.014686030153308965, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.0009942512349836248, 'weight_decay': 2.377131353038638e-06, 'momentum': 0.687652664074552, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",6.0,10641.076468968922,COMPLETE
144,27725.646135453688,2026-08-17 17:31:50.255132,2026-08-17 17:31:52.925309,0 days 00:00:02.670177,tanh,False,False,64,0.12023791180066974,onehot,False,1,0.0032153243563836933,mse,2.0,0.6374202049821683,adam,standard,cosine,log1p,3.4702073261079403e-07,512,,,,True,"{'name': 'T144', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': False, 'add_log_features': False, 'winsorize': True, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [512], 'activation': 'tanh', 'dropout': 0.12023791180066974, 'batch_norm': False, 'optimizer': 'adam', 'learning_rate': 0.0032153243563836933, 'weight_decay': 3.4702073261079403e-07, 'momentum': 0.6374202049821683, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",26.0,9182.920536092251,COMPLETE
